id,category,source,hyp,kalimat_koreksi,gec_score
10,ALG,"Ustadz Abdul Somad:Jangan Pernah Menikah Dengan wanita Yg Sudah Pernah Pacaran,Susah Kalian Delete MemoriDari Wanita Tersebut.Pastikan Kalianlah Suami,Pria Yang Ada di Memori Istri Kalian Selain Bapaknya.","ustadz abdul somad: jangan pernah menikah dengan wanita yang sudah pernah pacaran, susah kalian delete memoridari wanita tersebut. pastikan kalianlah suami, pria yang ada di memori istri kalian selain bapaknya.","Ustadz Abdul Somad: Jangan pernah menikah dengan wanita yang sudah pernah pacaran, kalian akan susah menghapus memori dari wanita tersebut. Pastikan kalianlah suami, pria yang ada di memori Istri kalian selain Bapaknya.",-0.11846208572387695
11,ALG,Fauzan bocah yang Pakaiannya Dihin4&Ditertawakansempat,fauzan bocah yang pakaiannya dihina-ditertawakansempat.,Fauzan bocah yang pakainnya dihina dan ditertawakan,-0.221955344080925
12,ALG,"Bucin Kepada Pacar, Membawa Ajeng Ke Tiang gantungan","bucin kepada pacar, membawa ajeng ke tiang gantungan.","Bucin kepada pacar, membaca Ajeng ke tiang gandungan",-0.225841224193573
13,ALG,"NASIB PILUBRIPTUSOLAGRATIA YANGISTRINYA selangkah DENGAN DUAPOLISEDAN TEL4NT4RKAN anak SELAMA 5BUL4n ""DIA SUKA D*G3M pAN M4b*K-M4b*K DIA TAK PIKIR anak PEREMPUAN SAYA SANGAT BUTUH KASIH SAYANG SEORANG IBU","nasib pilubriptusolagratia yangistrinya selangkah dengan duapolisedan telahkan anak selama sebulan""dia suka d*g3m pan m4b*k-m4b*dia tak pikir anak perempuan saya sangat butuh kasih sayang seorang ibu.","Nasib Briptu Solagratia: Istrinya diduga berselingkuh dengan dua polisi dan menelantarkan anak selama lima bulan ""Dia lebih memilih hiburan malam dan mabuk-mabukan, tanpa memikirkan bahwa anak perempuan kami sangat membutuhkan kasih sayang seorang Ibu.""",-0.2183927297592163
14,ALG,"Perjalanan Hijrah Rae Lil Black,Mantan pemain Film Dew4s4Jep4ng yangKini Mualaf 'Ini Ramadan Pertamaku""","perjalanan hijrah area lil black, mantan pemain film dewanjepang yangkini mualaf'ini ramadan pertamaku "".","Perjalanan hijrah Rea Lil Black, manran pemain film dewasa jepang yang kini mualaf: ""ini ramadan pertamaku""",-0.25952136516571045
15,ALG,"Kasus FHUl itu ngingetin lagi, betapa rentan-nya perempuan, dan mudahnya dunia menghina ESET2 perempuan.","kasus fhul itu nghentin lagi, betapa rentan-nya perempuan, dan mudahnya dunia menghina eset2 perempuan.",Kasus FHUI itu mengingatkan lagi betapa rentannya perempuan dan betapa mudahnya dunia menghina perempuan.,-0.2493690848350525
16,ALG,"Nggak perlu ngapa-ngapain,gak perlu provokatif.Cukup dengan ada""aja bisa dilecehkan sama se- geng cowok, yg notabene berpendidikan dengan masa depan cerah.","tidak perlu ngapa-ngapain, tidak perlu provokatif, cukup dengan ada.""saja bisa dilecehkan sama se-geng mikaok, yang notabene berpendidikan dengan masa depan cerah.","Tidak perlu melakukan apa pun dan tidak perlu bersikap provokatif. Cukup dengan hadir saja, seseorang bisa dilecehkan oleh segeng laki-laki yang notabene berpendidikan dan memiliki masa depan cerah.",-0.27334195375442505
17,ALG,Bocah Umur 4 Tahun di Kediri Meningg4I Usai dihajar Pakai Sapu & Paralon Oleh Nenek Sendiri,bocah umur 4 tahun di kediri meninggal usai dihajar pakai sapu-paralon oleh nenek sendiri.,Bocah umur 4 tahun di Kediri meninggal usai dihajar sapu dan paralon oleh nenek sendiri,-0.1912516951560974
18,ALG,sang ibu tak sanggup menghadapi kenyataan,sang ibu tak sanggup menghadapi kenyataan.,Sang ibu tidak sanggup menghadapi kenyataan,-0.2339211255311966
19,ALG,mamadib*n*h,mamadib*n*h.,Mamah dibunuh,-0.12746845185756683
20,ALG,"Polres Mojokerto Kota,tetapkan Inge Mariya tersangkaPengani4yaan4n4k Ancaman hukuman 5tahun penjara.","polres mojokerto kota, tetapkan inge mariya tersangkapenganyaan anak ancaman hukuman sejak tahun penjara.","Polres Kota Mojokerto, menetapkan Inge Mariya tersangka penganiayaan anak. Ancaman hukuman 5 tahun penjara.",-0.2840562164783478
21,ALG,pemb4t4I4r,pembalajaran.,pembatalan,-0.775435209274292
22,ALG,"pangkatnya GACOR OssyDermawan-Lulusan Terbaik diAS Staf sBY,Manajer Voli Juara, Kini WakilMenteriATR/BPN!","pangkatnya gacor ossydermawan, lulusan terbaik dias staf sby, manajer voli juara, kini wakil kementerian / bpn!","PANGKATNYA KEREN Ossy Dermawan - Lulusan terbaik di Amerika Serikat, pernah menjabat sebagai staf SBY, manajer voli juara, dan kini menjabat sebagai Wakil Menteri ATR/BPN.",-0.21588659286499023
23,ALG,,jangan sama-sama yang sama.,Pelaku,-1.0975476503372192
24,ALG,korban,korban.,Korban,-0.3365482985973358
25,ALG,nilah waiah disertai mutil4si terhadap Pak Bedul,nilah wajah disertai mutilasi dari pak bedul.,Inilah wajah kedua pelaku pembunuhan disertai mutilasi terhadap Pak Bedul,-0.2666747570037842
26,ALG,Assalamu'alaikum Kami Mawar Gurun iran Selalu BerdOa dan berjuang untuk Semua tentara iran Agar Kami meraih kemenangan Knp foto sprti ini tidak viral???,assalamu'alaikum kami mawar gurun iran selalu berdoa dan berjuang untuk semua tentara iran agar kami meraih kemenangan knp foto seperti ini tidak viral????,Assalamu'alaikum. Kami Mawar Gurun Iran selalu berdoa dan berjuang untuk semua tentara Iran agar kami meraih kemenangan. Kenapa foto seperti ini tidak viral?,-0.24314641952514648
27,ALG,HISTERISNYAIBUNDAANANDA ISNANIPUTRI.SAKSIKAN REKONSTRUKSI pembunuhan ANAKNYAOLEHSANGSUAMI DI ASAHAN:BUN*H SAJASI PEMBUN*HITU!,"histerisnyaibundanannda isnaniputri, saksikan rekonstruksi pembunuhan anaknyaolehsangsuami di asahan: bun*h sajasi pembun*hitu!","Histerisnya ibunda Ananda Isnani Putri, menyaksikan rekonstruksi pembunuhan anaknya oleh sang suami di Asahan: bunuh saja si pembunuh itu!",-0.16770991683006287
28,ALG,"Pernah Hidup miskin Aditya Prayoga kini buka 6 rumah Makan gratis bagi kaum duafa,f4kir miskin &anak yatim","pernah hidup miskin aditya prayao kini buka 6 rumah makan gratis di kaum duafa, fakir miskin-anak yatim.","Pernah Hidup miskin, Aditya Prayoga kini buka 6 rumah Makan gratis bagi kaum duafa, fakir miskin & anak yatim",-0.32242316007614136
29,ALG,"nasib apes sedang menimpa sopir di Klaten ini, niat hendak mengisi bensin muatan yang diangkutnya berupa 1 ton ikan lele tumpah ruah di area masuk pom bensin Cokro,Klaten,Jawa Tengah pada Jumat (22/5)","nasib 87 sedang menimpa sopir di klaten ini, niat hendak mengisi bensin muatan yang diangkutnya berupa 1 ton ikan lele tumpah ruah di area masuk pom bensin cokro, klaten, jawa tengah pada jumat (22 / 5).","Nasib apes menimpa seorang sopir di Klaten. Saat hendak mengisi bensin, muatan yang diangkutnya berupa satu ton ikan lele tumpah ruah di area masuk SPBU Cokro, Klaten, Jawa Tengah, pada Jumat (22/5).",-0.23288516700267792
30,ALG,Alhasil banyak warga dan juga karyawan SPBU yang membant mengembalikan ikan-ikan lele ini ke tempatnya dengan peralatan seadanya,alhasil banyak warga dan juga karyawan spbu yang membantu mengembalikan ikan-ikan lele ini ke tempatnya dengan peralatan seadanya.,"Akibatnya, banyak warga dan karyawan SPBU yang membantu mengembalikan ikan lele ini ke tempatnya dengan peralatan seadanya.",-0.17841464281082153
31,ALG,Kami Mawar Gurun iran Selaly Berdoa dan berjuang Supaya Dunia Kembali Damai,kami mawar gurun iran selalu berdoa dan berjuang supaya dunia kembali damai.,Kami Mawar Gurun Iran selalu berdoa dan berjuang supaya dunia kembali damai,-0.17851950228214264
32,ALG,"InsyaAllah, dengan dukungan dan doa kita bersama,Ir4n pasti menang","insyaallah, dengan dukungan dan doa kita bersama, irman pasti menang.","Insyaallah, dengan dukungan dan doa kita bersama, Iran pasti menang",-0.5198649168014526
33,ALG,pelaku,pelaku.,Pelaku,-0.42151808738708496
34,ALG,korban,korban.,Korban,-0.3365482985973358
35,ALG,emasditubuhanakmu adalah maut di mata orang yang iri,emasditubuhanakmu adalah maut di mata orang yang iri.,"Emas di tubuh anakmu, maut di mata orang yang iri",-0.25853627920150757
36,ALG,"Keji!Nenek 77 Tahun di Riau tewas Bersimbah darah dibunuh Cucu,Pelaku Ditangkap Usai Kabur dan Mengaku Habisi Korban demi Uang","kebijakan 77 tahun di riau tewas bersimbah darah dibunuh cucu, pelaku ditangkap usai kabur dan mengaku habisi korban demi uang.","Keji! Nenek 77 tahun di Riau tewas bersimbah darah dibunuh cucu, pelaku ditangkap usai kabur dan mengaku habisi korban demi uang.",-0.18919317424297333
37,ALG,BAKALDIJEMPUTP4KSA,bakaldijemputpaksa.,Bakal dijemput paksa,-0.40109604597091675
38,ALG,MASALAH TATAKELOLAPROGRAMMBG KEPALABGNDADANHINDAYANA:JIKA BERANLMASUKKEKANTORSAYAMAKA RAYAAKANLAPORKANKEPRESIDENPRABOWO,masalah tatakelolaprogrammbang kepalabangdadanhindayana: jika beranlmasukkekantorsayamaka rayakartakanlaporkankepresidenprabowo,"Siap pemeriksaan! KPK mengungkap 8 temuan masalah tata kelola program MBG kepala BGN Dadan Hindayana: Jika berani masuk ke kantor saya, maka saya akan laporkan ke Presiden Prabowo.",-0.2381456345319748
39,ALG,"Seret2 Irish Bella di Persidangan 'harusnya fokus aja ke pembelaan angan bawa2 istri orang""tulisnya","seret2 stevie bella di persidangan'harusnya fokus saja ke pembelaan angan bawa2 istri orang,""tulisnya.","Hadly Sabri murka Ammar Zoni seret-seret Irish Bela di persidangan ""seharusnya fokus saja ke pembelaan jangan bawa-bawa istri orang"" tulisnya!",-0.2619238495826721
40,ALG,"gadis pejuang Ir4n:""wahai saudaraku, kami selalu berdoa dan berjuang supaya iran menang dalam hati aku katakan ""AkU iran""","gadis pejuang irwan:""wahai saudaraku, kami selalu berdoa dan berjuang supaya iran menang dalam hati aku katakan""aku iran "".","Gadis pejuang Iran: ""Wahai saudaraku, kami selalu berdoa dan berjuang supaya Iran menang dalam hati, aku katakan ""Aku Iran""",-0.18179544806480408
41,ALG,"DARIDR!VEROJOLYANGTAK PUNYAM4SA DEPAN JAD POLISIMILTERTNI! Kisah Aan Akbar,Bersyukur N4sibBerubah drastis Terima Kasih Allah & Goiek!","daridrifi verojolyangtak punyamas depan jad polisimilteritisih akan akbar, bersyukur nasriberubah drastis terima kasih allah & gojek!","Dari driver ojol yang tidak mempunyai masa depan jadi Polisi Militer TNI! Kisah Aan Akbar, bersyukur nasib berubah drastis: 'Terima Kasih Allah & Gojek!",-0.2738649249076843
42,ALG,"'Miriam Rodriguez, Ibu yang M3mbvr pembunuh Anaknya,Hingga Di T3mb ak mati Oleh K4rtelTepat DiHari lbu'",""" everyone rodriguez, ibu yang membunuh anaknya, hingga di tembuk ak mati oleh karteltepat dihari ibu '.","""Miriam Rodriguez, Ibu yang memburu pembunuh anaknya, hingga ditembak mati oleh Kartel tepat di hari Ibu""",-0.4809993803501129
43,ALG,"Fauzan, Remaja Viral Karena Outfitnya Yg Di hina Kampungan Ternyata Sempat Mengurung Diri &Tidak Mau Sekolah Lagi Usai Insiden Tersebut.Kini Dapatkan Perhatian Dari Pemerintah Kabupaten LabuhanBatu","fauzan, remaja viral karena roboticnya yang di hingga kampungan ternyata sempat mengurung diri-tidak mau sekolah lagi usai insiden tersebut. kini dapatkan perhatian dari pemerintah kabupaten labuhanbatu.","Fauzan, remaja viral karena outfitnya yang dihina kampungan, ternyata sempat mengurung diri dan tidak mau sekolah lagi usai insiden tersebut. Kini mendapatkan perhatian dari Pemerintah Kabupaten Labuhanbatu.",-0.3075532615184784
44,ALG,"Proud of you fauzan (bukannya lebay angan pernah bilang masa gtu aja angsung drop,inillah itulah stop menghakimi seseorang.. ga semua orang punya perasaan yang kebal dan cuek ada saatnya kita manusia di titik terjatuh)","produk of you fauzan (bukannya lebih angan pernah mengatakan masa gtu saja angsung drop, inillah itulah stop menghakimi seseorang.. tidak semua orang punya perasaan yang kebal dan cuek ada saatnya kita manusia di titik terjatuh).","Saya bangga padamu Fauzan, tidak bermaksud berlebihan, jangan pernah berkata masa seperti itu saja langsung terpuruk, berhenti untuk menghakimi seseorang. Tidak semua orang memiliki perasaan yang kebal dan bersikap cuek, ada saatnya kita manusia di titik terjatuh.",-0.2000715285539627
45,ALG,"Motivasi mbak mbak berdua itu apa ya,cekikikan mencemooh orang gak","motivasi mbak mbak berdua itu apa ya, cekikikan mencemooh orang tidak.",Apa motivasi kedua perempuan itu? tertawa cekikikan sambil mencemooh orang tidak dikenal di depan orangnya langsung.,-0.17677447199821472
46,ALG,Semangat ju4ngkamitidak akan pernah lelah demi perdamaian dunia,semangat jangkamitidak akan pernah lelah dari perdamaian dunia.,Semangat juang kami tidak pernah lelah demi perdamian dunia,-0.22718916833400726
47,ALG,Tapi knp foto sehebat inisepi like dan komentar???,tapi knp foto sehebat inisepi like dan komentar????,Namun kenapa foto sehabat ini sepi like dan komentar?,-0.21599560976028442
48,ALG,"Seorang pemuda disabilitas secara resmi Menjadi anggota Kepolisian,., kok bisa...???","seorang pemuda disabilitas secara resmi menjadi anggota kepolisian,., kok bisa...??",Seorang pemuda disabilitas secara resmi menjadi angota kepolisian. Bagaimana hal itu bisa terjadi?,-0.2447139322757721
49,ALG,"Pernah Hidup miskin Aditya Prayoga kini buka 6 rumah Makan gratis bagi kaum duafa,f4kir m!skin&an4k yatim","pernah hidup miskin aditya prayao kini buka 6 rumah makan gratis seperti kaum duafa, fahri kamis (anak yatim","Pernah hidup miskin, Aditya Prayoga kini buka 6 rumah makan gratis bagi kaum duafa, fakir miskin dan anak yatim",-0.4334935247898102
50,ALG,rusia dan china Ajak IndOnesia bergabung &Berdiri Dipih4k iran Apakah Anda Setuju?,rusia dan china ajak indonesia bergabung-berdiri dipihak iran apakah anda setuju?,Rusia dan China mengajak Indonesia bergabung dan berdiri dipihak Iran. Apakah Anda setuju?,-0.2057942897081375
51,ALG,"Pigai Mengecam Tindakan Iran Karena Telah Memb0m Bardir Israel,Warga Banyak Yang T3w4s:""Itu SalahSatu Pelanggaran HAM""","pria mengecam tindakan iran karena telah membom badir israel, warga banyak yang melawan:""itu salahsatu pelanggaran ham "".","Pigai Mengecam Tindakan Iran Karena Telah MembomBardir Israel, Banyak Warga Tewas: ""Itu Salah Satu Pelanggaran HAM""",-0.324834942817688
52,ALG,TRAGEDILALFIN MAKSALMIINA LAPOR PENIPUAN MOBILKEPOLSIMILTER.3HARLKEMODIAN HILANG.DITEMUKAN TEW4STERKUBURD CIKEAS,"tragedilalfin maksalmin lapor penipuan mobilkepolsimilter, 3harlkemodian hilang, ditemukan tewassterkuburd cikeas.","Tragedi Alfin Maksalmina lapor penipuan mobil ke polisi militer. 3 hari kemudian hilang, ditemukan tewas terkubur di Cikeas",-0.30841752886772156
53,ALG,"Dipicu Masalah Sepele, Pria ODGJ di Tulungagung B4cok Adik Kandung hingga Masuk Rumah Sakit","dipicu masalah sepele, pria dengan tulungagung bcak adik kandung hingga masuk rumah sakit.","Dipicu masalah sepele, pria ODGJ di Tulungagung bacok adik kandung hingga masuk rumah sakit.",-0.30745774507522583
54,ALG,yg setuju ammar Zoni bebas berikan satu kata,yang setuju ammar zoni bebas berikan satu kata.,"yang setuju Ammar Zoni bebas, berikan satu kata",-0.11875978857278824
55,ALG,Du3L1L4W4N3 Niat Beri tembuskan peringatan Agar menyerah Bripka Alfarizi Justru kena tembuskan brutal Oleh perampok Saat Sahur!,dilawan niat beri tembuskan peringatan agar menyerah bripka alfarizi justru kena tembuskan brutal oleh perampok saat sahur!,Duel 1 lawan 3 Niat beri tembakan peringatan agar menyerah Bripka Alfarizi justru kena tembakan brutal oleh perampok saat sahur!,-0.2527712285518646
56,ALG,Bu Risnawatijualan keliling dalam keadaan buta demi hidupi 2 buah hatinya,bu risnawatijualan keliling dalam keadaan buta demi hidupi 2 buah hatinya.,Bu Risnawati jualan keliling dalam keadaan buta demi menghidupi 2 buah hatinya,-0.19358952343463898
57,ALG,ntuh hatinuraninu,jauh hatinuraninu.,Like foto ini jika menyentuh hari nuranimu,-0.47345227003097534
58,ALG,BIKIN SHOCK!,bikin shock!,Bikin kaget!,-0.14416474103927612
59,ALG,KETEMO KORBANKECEL4K44N YANGTERNYATA..,ketemu korbankecelak44n yangternyata..,Ketemu korban kecelakaan yang ternyata...,-0.3788502514362335
60,ALG,"agama yahudi kami adalah agama Pemaaf dan tetangga yang baik, dan Kami tidak membawa apa pun Selain kebaikan","agama yahudi kami adalah agama pemaaf dan tetangga yang baik, dan kami tidak membawa apa pun selain kebaikan.","Netanyahu: Agama Yahudi kami adalah agama pemaaf dan tetangga yang baik, dan kami tidak membawa apa pun selain kebaikan.",-0.242888942360878
61,ALG,iran bersumpah akan Terus G3mpur israel Hingga negara palestina merdeka! apakah Anda Setuju?,iran bersumpah akan terus gempur israel di negara palestina merdeka apakah anda setuju?,Iran bersumpah akan terus gempur Israel hingga Negara Palestina merdeka! Apakah Anda setuju?,-0.2083236426115036
62,ALG,"Luki,Bocah9tahunhidup ebatangkara.Ibu meningg4lkrnsakit Diterlant4rkan Ayah dankakaknya.. jual ubiuntukbisa makan","luki, bocah9tahunhidup batangkara, ibu meninggalkannyakit diterlantarakan ayah dankakaknya.. jual ubiuntukbisa makan.","Luki, bocah 9 tahun hidup sebatang kara. Ibu meninggal karena sakit, diterlantarkan Ayah dan Kakaknya. Jual ubi untuk bisa makan.",-0.2878251373767853
63,ALG,like foto ini jika ranimu,like foto ini jika ranimu.,Like foto ini jika menyentuh hati nuranimu.,-0.20486222207546234
64,ALG,"Tr**gls J4nd3s Muda Dis3k4pPria Ken4lannya Lewat medsos Di hotel Jombang, Berujung dirampok!","tr*gls j4nd3s muda disepakati kenalannya lewat medsos di hotel jombang, berujung dirampok!","Tragis! Janda muda disekap pria kenalannya melalui media sosial di hotel Jombang, berujung dirampok!",-0.3040843605995178
65,ALG,"Kami Mawar iran yang terus berjuang,berusaha dan berdoa agar kami bisa menang kemenangan kami membuka jalan kemerdekaan palestina","kami mawar iran yang terus berjuang, berusaha dan berdoa agar kami bisa menang kemenangan kami membuka jalan kemerdekaan palestina.","Kami Mawar Iran yang terus berjuang, berusaha dan berdoa agar kami bisa menang. Kemenangan kami membuka jalan kemerdekaan Palestina.",-0.13524658977985382
66,ALG,Anak ini melihat begitu banyak jin penglaris. yang ada dipasar.,"anak ini memiliki begitu banyak jin penglaris, yang ada dipasar.",Anak ini melihat begitu banyak jin penglaris yang ada di pasar,-0.34372764825820923
67,ALG,masuk islam dan putranya pun mengikutinya untuk memeluk Islam.Tapi knp foto sprtiinisepi L!k3&kOm3nt4r???,"masuk islam dan putranya pun mengikutinya untuk memeluk islam, tapi knp foto sprtiinisepi k3-komputer????","Masyaallah, wanita asal Spanyol ini masuk Islam dan putranya pun mengikutinya untuk memeluk Islam. Tapi kenapa foto seperti ini sepi like dan komentar?",-0.360619455575943
68,ALG,GZ kehilangan 400.000 orang.,saya kehilangan 400. 000 orang.,Gaza kehilangan 400.000 orang.,-0.23340322077274323
69,ALG,GEN051DA,genjo51da.,Genosida,-1.054082989692688
70,ALG,"Terrekam cctv,detik aksi seorang istri pemberani melawan pemb3g*I untuk menyelamatkan sang suami sungguh luar biasa","terekam cctv, detik aksi seorang istri pemberani melawan pembeng*i untuk menyelamatkan sang suami sungguh luar biasa.","Terekam CCTV , detik-detik aksi seorang istri pemberani melawan pembegal untuk menyelamatkan sang suami sungguh luar biasa",-0.21421147882938385
71,ALG,"NEKATTIDURDI LMUSHALA SAMBILBERPELUK4N,3 REMAJA DI KEBUMEN DISIRAM AIR:KINIDIBINA POLISI","nekattidurdi lmushala sambilberpelukan, 3 remaja di kebumen disiram air: kinidibina polisi.","Nekat tidur di mushala sambil berpelukan, tiga remaja di kebumen disiram air: Kini dibina polisi",-0.19350801408290863
72,ALG,Kami Pejuang Srikandi iran akan terus menjaga perdamaian dunia.Apakah,kami pejuang srikandi iran akan terus menjaga perdamaian dunia.,Kami pejuang srikandi Iran akan terus menjaga perdamaian dunia. Apakah,-0.2005040943622589
73,ALG,BREAKINGNEWS MAKIN PANAS! IRAN SERANG BALIK. KIRIM R#D@L KE ISRAEL,"breaknews makin panas! iran serang kembali, kirim r # d @ l ke israel.","Breaking news Makin panas! Iran menyerang balik, mengirimkan rudal ke Israel",-0.42840030789375305
74,EJA,MALL JOHAR PLAZA TETAP BUKA/OPERASIONAL SEPERTI BIASA ANDA,mall johar plaza tetap bukan operasional seperti biasa anda.,Mall Johar Plaza tetap buka / operasional seperti biasa Anda memasuki kawasan tertib K3 Wajib menggunakan Alat Perlindungan Diri (APD),-0.21942079067230225
75,EJA,M.20,m. 20.,Km 20,-0.14426325261592865
76,EJA,<LOF-Y,konfl-y.,Apotek,-0.4440513849258423
77,EJA,Yg setuju amar bebas Di sidang besok,yang setuju amar bebas di sidang besok.,yang setuju Ammar bebas disidang besok,-0.12687653303146362
78,EJA,"1 hari lagi vonis Ammar yangSe7 Ammar BEBAS, atau di Rehab brikan 1 kata","1 hari lagi vonis ammar yangse7 ammar bebas, atau di rehab berikan 1 kata.",1 hari lagi vonis Ammar yang setuju Ammar bebas atau direhab berikan 1 kata,-0.294732928276062
79,EJA,FERMAK LevI's,ferrari levi's,Permak Levi's,-0.35178905725479126
80,EJA,VERMAK LEVI'S,vermak levi's,Permak Levi's,-0.3561561405658722
81,EJA,,ini.,Bakso,-1.4298392534255981
82,EJA,DISINI PIRCITIKI SILIHKIN CITIK DISINI,disini politik silihkin citik disini.,DI SINI PERCETAKAN SILAKAN CETAK DI SINI,-0.19588348269462585
83,EJA,ESDAK JELAS TAPICU,tidak jelas tapicu.,Es tidak jelas,-0.3058716058731079
84,EJA,TAPICUBOLAH DULL SIAPOTAU BISO JADIJELAS,tapicubolah miracle siapotau bisa jadijelas.,Tapi cobalah dulu siapa tahu bisa jadi jelas,-0.3886372745037079
85,EJA,AYANAN BISPARIV WISATA,ayanan bispary wisata.,Layanan bus pariwisata,-0.32980698347091675
86,EJA,,ini.,Kredit,-1.4298392534255981
87,EJA,"""Saya ingin seluruh rakyat indonesia tau Seluruh akar masalah di indonesia adalah korupsi dan kemunafikan.semua politisi Saling sandera-meyandera jabatan, sedikit kali yang benar-benar Peduli rakyat. _BASUKI TJAHAJA PURNAMA_",""" saya ingin seluruh rakyat indonesia tau seluruh akar masalah di indonesia adalah korupsi dan kemunafikan. semua politisi saling sandera, menyandera jabatan, sedikit kali yang benar-benar peduli rakyat, _ basuki tjahaja purnama _","""Saya ingin seluruh rakyat Indonesia tahu seluruh akar masalah di Indonesia adalah korupsi dan kemunafikan. Semua politisi saling menyandera jabatan, sedikit kali yang benar-benar peduli rakyat."" _Basuki Tjahaja Purnama_",-0.15016238391399384
88,EJA,AYAM UDANG SEEFOOT SPECIAL SAOS TIRAM,ayam udang seefoot special asas tiram.,AYAM UDANG SEAFOOD SPECIAL SAOS TIRAM,-0.5888684391975403
89,EJA,SUNGKEM WARGATHREAD,sungkem wargathread.,"Sungkem warga Threads, akhirnya bisa menikmati Teazzi tanpa merogoh kocek",-0.3079609274864197
90,EJA,MariSuiksesk Sea Games2018 jakarta Palembang jawabarat,marisuikseskan sea games2018 jakarta palembang jawabarat.,"Mari Sukseskan SEA Games 2028 Jakarta, Palembang, Jawa Barat",-0.24781276285648346
91,EJA,SUMBER.SURYA SEIA:ALATULIS &JIID,"sumber, surya seja: alatulis.",Sumber Surya Fotokopi Sedia: Alat tulis & Jilid,-0.18665920197963715
92,EJA,DISEWAKAN GARASI,disewakan garasi.,Disewakan garasi,-0.11906030774116516
93,EJA,,ini.,SERVIS MOTOR,-1.4298392534255981
94,EJA,RP RP.44.500,rp rp. 44. 500.,Rp44.500,-0.19161459803581238
95,EJA,RPSCA RP.59.000,rp5 rp. 59. 000.,Rp59.000,-0.40860992670059204
96,EJA,RP.55.500,rp. 55. 500.,Rp55.500,-0.11455967277288437
97,EJA,[Re RP.49.500,rencana rp. 49. 500.,Rp49.500,-0.6677910685539246
98,EJA,"MBAAK.AKUSETUJUBANGET Pantesan dijuluki minyak dewa,sekarang udah jadi andalan remaja jompo tiap badan mulai ga enak.Tinggal oles langsung plooong 1/2","mbaak, akusetujubanget pantesan dijuluki minyak dewa, sekarang udah jadi andalan remaja jompo tiap badan mulai tidak, tinggal oles langsung polong 1 / 2.","Mbak, aku setuju sekali Pantas dijuluki minyak dewa, sekarang sudah jadi andalan remaja jompo setiap badan mulai tidak enak. Tinggal oles langsung plong",-0.21892113983631134
99,EJA,LEOITNYA AME,leoitnya ame.,Legitnya ramai-ramai,-0.24740946292877197
100,EJA,PERHATIAN TOLONG JANGAN LETAKKAN KENDERAAN ANDA DI HADAPAN PUMP ANGIN. TERIMA KASIN,"perhatian tolong jangan letakkan kenderaan anda di hadapan wonder angin, terima kasin.",Perhatian! Tolong jangan letakkan kendaraan Anda di hadapan pompa angin. Terima kasih,-0.3453172445297241
101,EJA,MEL-DOBENG,melebengi.,MI GORENG,-0.6837596297264099
102,EJA,KTIUW-GORENG,ktiuw-goreng.,KWETIAU GORENG,-0.2612497806549072
103,EJA,,ini.,Lobster goreng mentega,-1.4298392534255981
104,EJA,NASY GORENG &MYE.,nasy goreng-mye.,Nasi goreng dan mi,-0.31319981813430786
