crop,category,teks_ocr,kalimat_koreksi,paddleocr_out
crops/ITIEC_ALG_QQQ_20260512_0183_1.jpg,ALG,"NASIB PILU BRIPTU SOLAGRATIA YANG ISTRINYA SEL*NGK*H DENGAN DUA POLISI DAN TERL4NTARKAN 4NAK SELAMA 5 BUL4n ""DIA SUKA D*G3M DAN M4b*K-M4b*K, DIA TAK PIKIR 4NAK PEREMPUAN SAYA SANGAT BUTUH KASIH SAYANG SEORANG IBU""","Nasib Briptu Solagratia: Istrinya diduga berselingkuh dengan dua polisi dan menelantarkan anak selama lima bulan ""Dia lebih memilih hiburan malam dan mabuk-mabukan, tanpa memikirkan bahwa anak perempuan kami sangat membutuhkan kasih sayang seorang Ibu.""","NASIB PILUBRIPTUSOLAGRATIA YANGISTRINYA SEL*NGK*H DENGAN DUAPOLISEDAN TEL4NT4RKAN 4NAK SELAMA 5BUL4n ""DIA SUKA D*G3M pAN M4b*K-M4b*K DIA TAK PIKIR 4NAK PEREMPUAN SAYA SANGAT BUTUH KASIH SAYANG SEORANG IBU"
crops/ITIEC_ALG_QQQ_20260512_0323_1.jpg,ALG,"Perjalanan Hijrah Rae Lil Black, Mantan Pem4in Film Dew4s4 Jep4ng yang Kini Mualaf ""Ini Ramadan Pertamaku""","Perjalanan hijrah Rea Lil Black, manran pemain film dewasa jepang yang kini mualaf: ""ini ramadan pertamaku""","Perjalanan Hijrah Rae Lil Black,Mantan Pem4in Film Dew4s4Jep4ng yangKini Mualaf 'Ini Ramadan Pertamaku"""
crops/ITIEC_ALG_QQQ_20260512_0242_1.jpg,ALG,"Kasus FHUI itu ngingetin lagi, betapa rentan-nya perempuan, dan mudahnya dunia menghina perempuan.",Kasus FHUI itu mengingatkan lagi betapa rentannya perempuan dan betapa mudahnya dunia menghina perempuan.,"Kasus FHUl itu ngingetin lagi, betapa rentan-nya perempuan, dan mudahnya dunia menghina ESET2 perempuan."
crops/ITIEC_ALG_QQQ_20260512_0242_2.jpg,ALG,"Nggak perlu ngapa-ngapain, gak perlu provokatif. Cukup dengan ""ada"" aja bisa dilec*hkan sama se-geng cowok, yg notabene berpendidikan dengan masa depan cerah.","Tidak perlu melakukan apa pun dan tidak perlu bersikap provokatif. Cukup dengan hadir saja, seseorang bisa dilecehkan oleh segeng laki-laki yang notabene berpendidikan dan memiliki masa depan cerah.","Nggak perlu ngapa-ngapain,gak perlu provokatif.Cukup dengan ada""aja bisa dilec*hkan sama se- geng cowok, yg notabene berpendidikan dengan masa depan cerah."
crops/ITIEC_ALG_QQQ_20260512_0246_1.jpg,ALG,Bocah Umur 4 Tahun di Kediri Meningg4l Usai Dih*jar Pakai Sapu & Paralon Oleh Nenek Sendiri,Bocah umur 4 tahun di Kediri meninggal usai dihajar sapu dan paralon oleh nenek sendiri,Bocah Umur 4 Tahun di Kediri Meningg4I Usai Dih*jar Pakai Sapu & Paralon Oleh Nenek Sendiri
crops/ITIEC_ALG_QQQ_20260512_0246_2.jpg,ALG,sang ibu tak sanggup menghadapi kenyataan,Sang ibu tidak sanggup menghadapi kenyataan,sang ibu tak sanggup menghadapi kenyataan
crops/ITIEC_ALG_QQQ_20260512_0237_1.jpg,ALG,mama dib*n*h,Mamah dibunuh,mamadib*n*h
crops/ITIEC_ALG_QQQ_20260512_0279_1.jpg,ALG,"Polres Mojokerto Kota, tetapkan Inge Mariya tersangka Pengani4yaan 4n4k. Ancaman hukuman 5 tahun penjara.","Polres Kota Mojokerto, menetapkan Inge Mariya tersangka penganiayaan anak. Ancaman hukuman 5 tahun penjara.","Polres Mojokerto Kota,tetapkan Inge Mariya tersangkaPengani4yaan4n4k Ancaman hukuman 5tahun penjara."
crops/ITIEC_ALG_QQQ_20260512_0362_1.jpg,ALG,pemb4t4l4n,pembatalan,pemb4t4I4r
crops/ITIEC_ALG_QQQ_20260512_0135_1.jpg,ALG,"PANGK4TNYA GACOR Ossy Dermawan - Lulusan Terbaik di AS, Staf SBY, Manajer Voli Juara, Kini Wakil Menteri ATR/BPN!","PANGKATNYA KEREN Ossy Dermawan - Lulusan terbaik di Amerika Serikat, pernah menjabat sebagai staf SBY, manajer voli juara, dan kini menjabat sebagai Wakil Menteri ATR/BPN.","PANGK4TNYA GACOR OssyDermawan-Lulusan Terbaik diAS Staf sBY,Manajer Voli Juara, Kini WakilMenteriATR/BPN!"
crops/ITIEC_ALG_QQQ_20260512_0021_1.jpg,ALG,Pel4ku,Pelaku,
crops/ITIEC_ALG_QQQ_20260512_0021_2.jpg,ALG,K0rb4n,Korban,K0rb4n
crops/ITIEC_ALG_QQQ_20260512_0021_3.jpg,ALG,Inilah wajah kedua pelaku pemb*nuhan disertai mutil4si terhadap Pak Bedul,Inilah wajah kedua pelaku pembunuhan disertai mutilasi terhadap Pak Bedul,nilah waiah disertai mutil4si terhadap Pak Bedul
crops/ITIEC_ALG_QQQ_20260512_0101_1.jpg,ALG,Assalamu'alaikum Kami Mawar Gurun Ir4n Selalu Berd0a dan Berju4n9 untuk Semua T3nt4ra Ir4n Agar Kami Mer4in Kemen4n94n. Knp foto sprti in tidak vir4l???,Assalamu'alaikum. Kami Mawar Gurun Iran selalu berdoa dan berjuang untuk semua tentara Iran agar kami meraih kemenangan. Kenapa foto seperti ini tidak viral?,Assalamu'alaikum Kami Mawar Gurun Ir4n Selalu BerdOa dan Berju4n9 untuk Semua T3nt4ra Ir4n Agar Kami Mer4ih Kemen4n94n Knp foto sprti ini tidak vir4l???
crops/ITIEC_ALG_QQQ_20260512_0028_1.jpg,ALG,"HISTERISNYA IBUNDA ANANDA ISNANI PUTRI, SAKSIKAN REKONSTRUKSI PEMBUN*HAN ANAKNYA OLEH SANG SUAMI DI ASAHAN: BUN*H SAJA SI PEMBUN*H ITU!","Histerisnya ibunda Ananda Isnani Putri, menyaksikan rekonstruksi pembunuhan anaknya oleh sang suami di Asahan: bunuh saja si pembunuh itu!",HISTERISNYAIBUNDAANANDA ISNANIPUTRI.SAKSIKAN REKONSTRUKSI PEMBUN*HAN ANAKNYAOLEHSANGSUAMI DI ASAHAN:BUN*H SAJASI PEMBUN*HITU!
crops/ITIEC_ALG_QQQ_20260512_0367_1.jpg,ALG,"Pernah Hidup m!skin, Aditya Prayoga kini buka 6 rumah Makan gr4tis bagi kaum duafa,f4kir m!skin & an4k y4tim","Pernah Hidup miskin, Aditya Prayoga kini buka 6 rumah Makan gratis bagi kaum duafa, fakir miskin & anak yatim","Pernah Hidup m!skin Aditya Prayoga kini buka 6 rumah Makan gr4tis bagi kaum duafa,f4kir m!skin &an4k y4tim"
crops/Gambar 09_1.jpg,ALG,"N4sib 4pes sedang menimpa sopir di Klaten ini, niat hendak mengisi bensin muatan yang diangkutnya berupa 1 ton ikan lele tumpah ruah di area masuk pom bensin Cokro, Klaten, Jawa Tengah pada Jumat (22/5).","Nasib apes menimpa seorang sopir di Klaten. Saat hendak mengisi bensin, muatan yang diangkutnya berupa satu ton ikan lele tumpah ruah di area masuk SPBU Cokro, Klaten, Jawa Tengah, pada Jumat (22/5).","N4sib 4pes sedang menimpa sopir di Klaten ini, niat hendak mengisi bensin muatan yang diangkutnya berupa 1 ton ikan lele tumpah ruah di area masuk pom bensin Cokro,Klaten,Jawa Tengah pada Jumat (22/5)"
crops/Gambar 09_2.jpg,ALG,"Alhasil banyak warga dan juga karyawan SPBU yang membantu mengembalikan ikan-ikan lele ini ke tempatnya dengan peralatan seadanya,","Akibatnya, banyak warga dan karyawan SPBU yang membantu mengembalikan ikan lele ini ke tempatnya dengan peralatan seadanya.",Alhasil banyak warga dan juga karyawan SPBU yang membant mengembalikan ikan-ikan lele ini ke tempatnya dengan peralatan seadanya
crops/ITIEC_ALG_QQQ_20260512_0061_1.jpg,ALG,Kami Mawar Gurun Ir4n Selalu Berdoa dan Berju4n9 Supaya Dunia Kembali Damai,Kami Mawar Gurun Iran selalu berdoa dan berjuang supaya dunia kembali damai,Kami Mawar Gurun Ir4n Selaly Berdoa dan Berju4n9 Supaya Dunia Kembali Damai
crops/ITIEC_ALG_QQQ_20260512_0061_2.jpg,ALG,"InsyaAllah, dengan dukungan dan doa kita bersama, Ir4n pasti menang","Insyaallah, dengan dukungan dan doa kita bersama, Iran pasti menang","InsyaAllah, dengan dukungan dan doa kita bersama,Ir4n pasti menang"
crops/ITIEC_ALG_QQQ_20260512_0394_1.jpg,ALG,pel4ku,Pelaku,pel4ku
crops/ITIEC_ALG_QQQ_20260512_0394_2.jpg,ALG,korb4n,Korban,korb4n
crops/ITIEC_ALG_QQQ_20260512_0394_3.jpg,ALG,"emas di tubuh anakmu, adalah m4ut di mata orang yang iri","Emas di tubuh anakmu, maut di mata orang yang iri",emasditubuhanakmu adalah m4ut di mata orang yang iri
crops/ITIEC_ALG_QQQ_20260512_0042_1.jpg,ALG,"Keji! Nenek 77 Tahun di Riau T3w4s Bersimbah D4rah Dib*n*h Cucu, Pelaku Ditangkap Usai Kabur dan Mengaku Habisi Korban demi Uang","Keji! Nenek 77 tahun di Riau tewas bersimbah darah dibunuh cucu, pelaku ditangkap usai kabur dan mengaku habisi korban demi uang.","Keji!Nenek 77 Tahun di Riau T3w4s Bersimbah D4rah Dib*n*h Cucu,Pelaku Ditangkap Usai Kabur dan Mengaku Habisi Korban demi Uang"
crops/ITIEC_ALG_QQQ_20260512_0250_1.jpg,ALG,BAKAL DI JEMPUT P4KSA,Bakal dijemput paksa,BAKALDIJEMPUTP4KSA
crops/ITIEC_ALG_QQQ_20260512_0250_2.jpg,ALG,"SIAP PEMERIKSAAN! KPK UNGKAP 8 TEMUAN MASALAH TATA KELOLA PROGRAM MBG KEPALA BGN DADAN HINDAYANA: JIKA BERANI MASUK KE KANTOR SAYA, MAKA SAYA AKAN LAPORKAN KE PRESIDEN PRABOWO","Siap pemeriksaan! KPK mengungkap 8 temuan masalah tata kelola program MBG kepala BGN Dadan Hindayana: Jika berani masuk ke kantor saya, maka saya akan laporkan ke Presiden Prabowo.",MASALAH TATAKELOLAPROGRAMMBG KEPALABGNDADANHINDAYANA:JIKA BERANLMASUKKEKANTORSAYAMAKA RAYAAKANLAPORKANKEPRESIDENPRABOWO
crops/ITIEC_ALG_QQQ_20260512_0196_1.jpg,ALG,"Hadly Sabri Miurk4 Ammar Zoni Seret2 Irish Bela di Persidangan ""harusnya fokus aja ke pembelaan Jangan bawa2 istri orang"" tulisnya!!","Hadly Sabri murka Ammar Zoni seret-seret Irish Bela di persidangan ""seharusnya fokus saja ke pembelaan jangan bawa-bawa istri orang"" tulisnya!","Seret2 Irish Bella di Persidangan 'harusnya fokus aja ke pembelaan angan bawa2 istri orang""tulisnya"
crops/ITIEC_ALG_QQQ_20260512_0063_1.jpg,ALG,"G4dis pejuang Ir4n: ""Wahai saudaraku, kami selalu berdoa dan berju4n0 supaya Ir4n men4n9 dalam hati aku katakan ""AKU IR4N""","Gadis pejuang Iran: ""Wahai saudaraku, kami selalu berdoa dan berjuang supaya Iran menang dalam hati, aku katakan ""Aku Iran""","G4dis pejuang Ir4n:""wahai saudaraku, kami selalu berdoa dan berju4n9 supaya Ir4n men4n9 dalam hati aku katakan ""AkU IR4N"""
crops/ITIEC_ALG_QQQ_20260512_0375_1.jpg,ALG,"DARI DR!VER OJOL YANG TAK PUNYA M4SA DEPAN JADI POLISI MILITER TNI! Kisah Aan Akbar, Bersyukur N4sib Berubah Dr4stis: 'Terima Kasih Allah & Gojek!","Dari driver ojol yang tidak mempunyai masa depan jadi Polisi Militer TNI! Kisah Aan Akbar, bersyukur nasib berubah drastis: 'Terima Kasih Allah & Gojek!","DARIDR!VEROJOLYANGTAK PUNYAM4SA DEPAN JAD POLISIMILTERTNI! Kisah Aan Akbar,Bersyukur N4sibBerubah Dr4stis Terima Kasih Allah & Goiek!"
crops/ITIEC_ALG_QQQ_20260512_0350_1.jpg,ALG,"""Miriam Rodriguez, Ibu yang M3mbvru P3mbvnvh Anaknya, Hingga Di T3mb4k M4ti Oleh K4rtel Tepat Di Hari Ibu""","""Miriam Rodriguez, Ibu yang memburu pembunuh anaknya, hingga ditembak mati oleh Kartel tepat di hari Ibu""","'Miriam Rodriguez, Ibu yang M3mbvr P3mbvnuh Anaknya,Hingga Di T3mb 4k M4ti Oleh K4rtelTepat DiHari lbu'"
crops/ITIEC_ALG_QQQ_20260512_0003_1.jpg,ALG,"Fauzan, Remaja Viral Karena Outfitnya Yg Di Hin4 Kampungan, Ternyata Sempat Mengurung Diri & Tidak Mau Sekolah Lagi Usai Insiden Tersebut. Kini Dapatkan Perhatian Dari Pemerintah Kabupaten LabuhanBatu","Fauzan, remaja viral karena outfitnya yang dihina kampungan, ternyata sempat mengurung diri dan tidak mau sekolah lagi usai insiden tersebut. Kini mendapatkan perhatian dari Pemerintah Kabupaten Labuhanbatu.","Fauzan, Remaja Viral Karena Outfitnya Yg Di Hin4 Kampungan Ternyata Sempat Mengurung Diri &Tidak Mau Sekolah Lagi Usai Insiden Tersebut.Kini Dapatkan Perhatian Dari Pemerintah Kabupaten LabuhanBatu"
crops/ITIEC_ALG_QQQ_20260512_0003_2.jpg,ALG,"Proud of you fauzan (bukannya lebay jangan pernah bilang masa gtu aja langsung drop, inilah itulah stop menghakimi seseorang... ga semua orang punya perasaan yang kebal dan cuek ada saatnya kita manusia di titik terjatuh)","Saya bangga padamu Fauzan, tidak bermaksud berlebihan, jangan pernah berkata masa seperti itu saja langsung terpuruk, berhenti untuk menghakimi seseorang. Tidak semua orang memiliki perasaan yang kebal dan bersikap cuek, ada saatnya kita manusia di titik terjatuh.","Proud of you fauzan (bukannya lebay angan pernah bilang masa gtu aja angsung drop,inillah itulah stop menghakimi seseorang.. ga semua orang punya perasaan yang kebal dan cuek ada saatnya kita manusia di titik terjatuh)"
crops/ITIEC_ALG_QQQ_20260512_0003_3.jpg,ALG,"Motivasi mbak mbak berdua itu apa ya, cekikikan mencemooh orang gak dikenal di depan orangnya langsung.",Apa motivasi kedua perempuan itu? tertawa cekikikan sambil mencemooh orang tidak dikenal di depan orangnya langsung.,"Motivasi mbak mbak berdua itu apa ya,cekikikan mencemooh orang gak"
crops/ITIEC_ALG_QQQ_20260512_0097_1.jpg,ALG,Semangat ju4ng kami tidak pernah lel4h demi perdam4ian dunia,Semangat juang kami tidak pernah lelah demi perdamian dunia,Semangat ju4ngkamitidak akan pernah lel4h demi perdam4ian dunia
crops/ITIEC_ALG_QQQ_20260512_0097_2.jpg,ALG,Tapi knp foto seheb4t ini sepi L!k3 dan k0m3nt4r???,Namun kenapa foto sehabat ini sepi like dan komentar?,Tapi knp foto seheb4t inisepi L!k3 dan k0m3nt4r???
crops/ITIEC_ALG_QQQ_20260512_0109_1.jpg,ALG,"Seorang pemuda Dis4bilitas secara resmi Menjadi angota Kepolisian,,, kok bisa...???",Seorang pemuda disabilitas secara resmi menjadi angota kepolisian. Bagaimana hal itu bisa terjadi?,"Seorang pemuda Dis4bilitas secara resmi Menjadi anggota Kepolisian,., kok bisa...???"
crops/ITIEC_ALG_QQQ_20260512_0005_1.jpg,ALG,"Pernah Hidup m!skin, Aditya Prayoga kini buka 6 rumah Makan gr4tis bagi kaum duafa, f4kir m!skin & an4k y4tim","Pernah hidup miskin, Aditya Prayoga kini buka 6 rumah makan gratis bagi kaum duafa, fakir miskin dan anak yatim","Pernah Hidup m!skin Aditya Prayoga kini buka 6 rumah Makan gr4tis bagi kaum duafa,f4kir m!skin&an4k y4tim"
crops/ITIEC_ALG_QQQ_20260512_0277_1.jpg,ALG,Rusi4 dan Chin4 Ajak Ind0nesia Berg4bung & Berdiri Dipih4k Ir4n. Apakah Anda Setuju?,Rusia dan China mengajak Indonesia bergabung dan berdiri dipihak Iran. Apakah Anda setuju?,Rusi4 dan Chin4 Ajak IndOnesia Berg4bung &Berdiri Dipih4k Ir4n Apakah Anda Setuju?
crops/ITIEC_ALG_QQQ_20260512_0002_1.jpg,ALG,"Pigai Mengecam Tindakan Iran Karena Telah Memb0m Bardir Israel, Warga Banyak Yang T3w4s: ""Itu Salah Satu Pelanggaran HAM""","Pigai Mengecam Tindakan Iran Karena Telah MembomBardir Israel, Banyak Warga Tewas: ""Itu Salah Satu Pelanggaran HAM""","Pigai Mengecam Tindakan Iran Karena Telah Memb0m Bardir Israel,Warga Banyak Yang T3w4s:""Itu SalahSatu Pelanggaran HAM"""
crops/ITIEC_ALG_QQQ_20260512_0025_1.jpg,ALG,"TRAGEDI ALFIN MAKSALMINA LAPOR PENIPUAN MOBIL KE POLISI MILITER. 3 HARI KEMUDIAN HILANG, DITEMUKAN TEW4S TERKUBUR DI CIKEAS","Tragedi Alfin Maksalmina lapor penipuan mobil ke polisi militer. 3 hari kemudian hilang, ditemukan tewas terkubur di Cikeas",TRAGEDILALFIN MAKSALMIINA LAPOR PENIPUAN MOBILKEPOLSIMILTER.3HARLKEMODIAN HILANG.DITEMUKAN TEW4STERKUBURD CIKEAS
crops/ITIEC_ALG_QQQ_20260512_0395_1.jpg,ALG,"Dipicu Masalah Sepele, Pria ODGJ di Tulungagung B4cok Adik Kandung hingga Masuk Rumah Sakit","Dipicu masalah sepele, pria ODGJ di Tulungagung bacok adik kandung hingga masuk rumah sakit.","Dipicu Masalah Sepele, Pria ODGJ di Tulungagung B4cok Adik Kandung hingga Masuk Rumah Sakit"
crops/ITIEC_ALG_QQQ_20260512_0280_1.jpg,ALG,yg setuju ammar Zoni beb4s berikan satu kata,"yang setuju Ammar Zoni bebas, berikan satu kata",yg setuju ammar Zoni beb4s berikan satu kata
crops/ITIEC_ALG_QQQ_20260512_0383_1.jpg,ALG,Du3L 1 L4w4n 3 Niat Beri T3mb**k4n P3ring4tan Agar Meny3r4h Bripka Alfarizi Justru K3na T3mb**k4n Br*t4l Oleh Per4mp0k Saat Sahur!,Duel 1 lawan 3 Niat beri tembakan peringatan agar menyerah Bripka Alfarizi justru kena tembakan brutal oleh perampok saat sahur!,Du3L1L4W4N3 Niat Beri T3mb**k4n P3ring4tan Agar Meny3r4h Bripka Alfarizi Justru K3na T3mb**k4n Br*t4l Oleh Per4mp0k Saat Sahur!
crops/ITIEC_ALG_QQQ_20260512_0324_1.jpg,ALG,Bu Risnawati jualan keliling dalam keadaan but4 demi hidupi 2 buah hatinya,Bu Risnawati jualan keliling dalam keadaan buta demi menghidupi 2 buah hatinya,Bu Risnawatijualan keliling dalam keadaan but4 demi hidupi 2 buah hatinya
crops/ITIEC_ALG_QQQ_20260512_0324_2.jpg,ALG,Lik3 foto ini jika menyentuh hari nuranimu,Like foto ini jika menyentuh hari nuranimu,ntuh hatinuraninu
crops/ITIEC_ALG_QQQ_20260512_0239_1.jpg,ALG,BIKIN SHOCK!,Bikin kaget!,BIKIN SHOCK!
crops/ITIEC_ALG_QQQ_20260512_0239_2.jpg,ALG,KETEMU KORBAN KECEL4K44N YANG TERNYATA...,Ketemu korban kecelakaan yang ternyata...,KETEMO KORBANKECEL4K44N YANGTERNYATA..
crops/ITIEC_ALG_QQQ_20260512_0181_1.jpg,ALG,"Netanyahu: Ag4ma Y4hudi kami adalah ag4ma Pemaaf dan tetangga yang baik, dan Kami tidak membawa ap4 pun Selain kebaikan","Netanyahu: Agama Yahudi kami adalah agama pemaaf dan tetangga yang baik, dan kami tidak membawa apa pun selain kebaikan.","Ag4ma Y4hudi kami adalah ag4ma Pemaaf dan tetangga yang baik, dan Kami tidak membawa ap4 pun Selain kebaikan"
crops/ITIEC_ALG_QQQ_20260512_0275_1.jpg,ALG,Ir4n Bersump4h Ak4n Terus G3mpur Isr4el Hingga Neg4ra P4lestin4 Merdek4! Ap4kah Anda Setuju?,Iran bersumpah akan terus gempur Israel hingga Negara Palestina merdeka! Apakah Anda setuju?,Ir4n Bersump4h Ak4n Terus G3mpur Isr4el Hingga Neg4ra P4lestin4 Merdek4! Ap4kah Anda Setuju?
crops/ITIEC_ALG_QQQ_20260512_0305_1.jpg,ALG,"Luki, Bocah 9 tahun hidup sebatangkara. Ibu meningg4l krn sakit. Diterlant4rkan Ayah dan kakaknya.. jual ubi untuk bisa makan.","Luki, bocah 9 tahun hidup sebatang kara. Ibu meninggal karena sakit, diterlantarkan Ayah dan Kakaknya. Jual ubi untuk bisa makan.","Luki,Bocah9tahunhidup ebatangkara.Ibu meningg4lkrnsakit Diterlant4rkan Ayah dankakaknya.. jual ubiuntukbisa makan"
crops/ITIEC_ALG_QQQ_20260512_0305_2.jpg,ALG,Lik3 foto ini jika menyentuh hati nuranimu.,Like foto ini jika menyentuh hati nuranimu.,Lik3 foto ini jika ranimu
crops/ITIEC_ALG_QQQ_20260512_0142_1.jpg,ALG,"Tr**gls! J4nd3s Muda Dis3k4p Pria Ken4lannya Lewat M3dsos Di Hot3l Jombang, Berujung Dir4mp0k!","Tragis! Janda muda disekap pria kenalannya melalui media sosial di hotel Jombang, berujung dirampok!","Tr**gls J4nd3s Muda Dis3k4pPria Ken4lannya Lewat M3dsos Di Hot3l Jombang, Berujung Dir4mp0k!"
crops/ITIEC_ALG_QQQ_20260512_0255_1.jpg,ALG,"Kami Mawar Ir4n yang terus berjuang, berusaha dan berdoa agar kami bisa m3nang, Kem3nangan kami membuka jalan kem3rdek4an pal35tin4","Kami Mawar Iran yang terus berjuang, berusaha dan berdoa agar kami bisa menang. Kemenangan kami membuka jalan kemerdekaan Palestina.","Kami Mawar Ir4n yang terus berjuang,berusaha dan berdoa agar kami bisa m3nang Kem3nangan kami membuka jalan kem3rdek4an pal35tin4"
crops/ITIEC_ALG_QQQ_20260512_0015_1.jpg,ALG,Anak ini melihat begitu banyak j!n penglaris yang ada dipasar,Anak ini melihat begitu banyak jin penglaris yang ada di pasar,Anak ini melihat begitu banyak j!n penglaris. yang ada dipasar.
crops/ITIEC_ALG_QQQ_20260512_0187_1.jpg,ALG,"MasyaAllah, wanita asal Spanyol ini masuk Isl4m dan putranya pun mengikutinya untuk memelvk Islam. Tapi knp foto sprti ini sepi L!k3 & k0m3nt4r???","Masyaallah, wanita asal Spanyol ini masuk Islam dan putranya pun mengikutinya untuk memeluk Islam. Tapi kenapa foto seperti ini sepi like dan komentar?",masuk Isl4m dan putranya pun mengikutinya untuk memelvk Islam.Tapi knp foto sprtiinisepi L!k3&kOm3nt4r???
crops/ITIEC_ALG_QQQ_20260512_0352_1.jpg,ALG,G*z* kehilangan 400.000 orang.,Gaza kehilangan 400.000 orang.,GZ kehilangan 400.000 orang.
crops/ITIEC_ALG_QQQ_20260512_0352_2.jpg,ALG,GEN051DA,Genosida,GEN051DA
crops/ITIEC_ALG_QQQ_20260512_0014_1.jpg,ALG,"Terrekam cctv , detik2 aksi seorang istri pemberani melawan pemb3g*l untuk menyelamatkan sang suami sungguh luar biasa","Terekam CCTV , detik-detik aksi seorang istri pemberani melawan pembegal untuk menyelamatkan sang suami sungguh luar biasa","Terrekam cctv,detik aksi seorang istri pemberani melawan pemb3g*I untuk menyelamatkan sang suami sungguh luar biasa"
crops/ITIEC_ALG_QQQ_20260512_0019_1.jpg,ALG,"NEKAT TIDUR DI MUSHALA SAMBIL BERPELUK4N, 3 REMAJA DI KEBUMEN DISIRAM AIR: KINI DIBINA POLISI","Nekat tidur di mushala sambil berpelukan, tiga remaja di kebumen disiram air: Kini dibina polisi","NEKATTIDURDI LMUSHALA SAMBILBERPELUK4N,3 REMAJA DI KEBUMEN DISIRAM AIR:KINIDIBINA POLISI"
